ID,w1group,w1schoolid,gender,w1_54a,w1_54b,w1_54d,w1_54e,w1_54f,w2_54a,w2_54b,w2_54d,w2_54e,w2_54f,w3_54a,w3_54b,w3_54d,w3_54e,w3_54f,w4_54a,w4_54b,w4_54d,w4_54e,w4_54f,w1_1,w2_1,w3_1,w4_1
418,1,10,female,3,2,3,2,2,3,1,3,2,4,3,1,1,1,1,3,4,4,4,3,1,1,4,3
419,0,24,male,3,2,2,3,2,3,2,2,2,2,3,3,1,4,2,3,1,2,1,4,1,1,2,3
420,1,5,female,4,2,1,1,1,3,2,2,2,1,3,2,1,2,1,3,2,2,2,2,2,3,4,5
421,1,19,male,4,1,2,2,2,3,2,1,2,2,3,2,3,2,2,3,2,2,2,1,2,3,4,5
422,1,5,female,3,2,2,4,2,4,3,2,2,2,3,2,1,1,1,NA,NA,NA,NA,NA,1,8,7,NA
423,1,19,female,4,1,1,1,2,3,1,1,3,4,3,1,1,4,3,3,2,1,3,3,1,1,2,3
424,0,24,male,3,1,1,1,1,4,1,1,1,1,3,4,4,3,4,NA,NA,NA,NA,NA,2,2,4,NA
425,0,20,male,3,2,2,4,2,4,2,1,2,3,4,1,1,1,1,NA,NA,NA,NA,NA,1,2,3,NA
426,0,21,male,4,1,2,2,1,4,4,4,4,4,3,2,1,2,3,3,3,2,2,1,2,3,4,5
427,0,11,female,4,1,1,1,1,4,1,2,1,1,3,1,1,2,1,3,1,1,2,3,2,3,3,5
428,0,25,female,3,2,2,2,2,4,1,1,1,1,4,2,1,3,4,3,2,1,2,2,2,8,8,8
429,1,5,male,3,2,2,3,3,3,1,2,3,3,4,1,1,1,1,4,1,1,1,4,1,2,3,4
430,1,19,female,3,1,2,3,2,3,3,2,4,3,4,2,1,3,4,3,2,2,2,2,1,2,3,4
431,0,2,male,3,3,1,2,1,4,1,1,1,1,3,3,1,3,2,3,4,1,4,4,2,8,4,5
432,1,18,female,4,1,1,2,2,4,1,1,1,1,4,1,1,1,1,4,1,1,1,1,1,1,2,3
433,0,8,female,4,3,1,3,2,4,3,2,2,1,3,4,4,4,4,3,1,2,2,2,2,3,4,8
434,1,4,female,4,1,1,1,1,4,2,1,1,1,4,2,1,1,1,3,3,1,2,1,1,2,3,1
435,0,22,male,3,2,3,2,2,4,1,4,3,3,3,2,4,2,2,3,3,3,3,3,2,3,4,5
436,1,18,male,3,2,1,1,1,4,1,1,1,1,3,1,1,1,1,3,1,1,1,1,1,2,7,8
437,1,16,female,3,2,1,2,1,3,1,1,2,1,3,3,3,3,3,4,1,1,1,1,2,3,4,5
438,1,18,male,4,2,1,3,1,3,3,3,2,1,4,1,1,3,1,4,1,1,1,4,1,1,2,3
439,1,10,male,3,2,1,2,2,4,2,1,2,3,4,1,1,1,1,4,4,3,2,3,1,8,8,8
440,1,5,female,4,1,1,1,1,4,1,1,1,4,4,1,1,1,2,4,4,1,1,1,2,2,3,4
441,1,14,female,3,1,1,1,1,3,3,4,3,3,4,1,1,1,1,3,4,2,2,2,1,2,8,3
442,0,21,female,4,1,2,2,2,3,2,2,2,2,3,2,2,1,2,3,2,2,2,2,1,2,3,4
443,1,19,male,4,3,4,3,1,3,4,1,4,2,4,1,1,1,1,3,4,4,4,4,1,7,8,6
444,0,8,male,3,3,2,2,3,3,3,2,1,3,3,3,3,3,3,3,3,1,1,2,2,3,4,5
445,0,22,male,3,2,1,1,1,4,NA,1,1,NA,4,2,1,1,2,4,1,1,1,1,1,2,3,4
446,1,5,male,3,1,1,1,2,3,2,1,2,3,4,1,1,1,1,4,1,1,1,1,1,2,3,4
447,0,15,female,3,1,1,1,1,3,1,2,2,1,3,1,3,2,1,3,2,3,1,2,1,2,3,4
448,0,6,male,4,4,4,4,2,3,4,4,4,4,4,1,1,1,1,3,2,1,2,2,1,2,3,4
449,1,1,male,3,2,1,1,1,3,3,2,3,2,3,2,1,2,2,3,3,3,2,2,2,3,4,5
450,1,19,female,4,2,2,1,1,3,2,2,3,1,3,2,1,1,2,3,2,1,2,2,1,2,3,4
451,0,11,female,4,2,3,2,4,4,3,1,2,4,4,3,4,2,2,3,2,2,3,4,2,8,8,8
452,1,14,male,4,1,1,2,1,4,1,1,1,2,NA,4,1,2,4,4,4,2,4,3,1,2,3,7
453,1,26,female,3,4,2,2,4,3,2,1,3,2,3,2,2,1,2,3,2,1,2,1,1,1,2,3
454,1,19,female,3,2,1,2,1,3,1,2,2,1,3,2,2,2,2,3,2,1,2,1,1,1,2,3
455,1,26,male,3,1,2,1,1,4,1,1,1,1,3,2,1,4,4,3,3,4,2,4,2,3,4,5
456,0,23,male,4,1,1,1,1,4,1,1,2,2,3,2,1,2,2,3,1,1,2,1,1,2,2,3
457,1,4,male,4,1,1,2,1,4,1,1,1,1,4,1,1,1,1,4,1,1,2,1,1,2,2,3
458,1,19,male,4,2,1,2,2,4,1,1,1,1,4,1,1,1,1,4,1,1,1,1,1,1,2,3
459,0,15,male,3,2,1,2,3,3,3,1,3,3,3,2,3,NA,4,3,3,2,3,4,2,1,2,3
460,0,15,male,4,1,2,1,2,4,2,1,2,1,4,2,2,3,1,3,2,2,2,2,1,2,2,2
461,1,5,male,3,2,3,3,3,4,1,4,4,4,4,1,4,3,2,4,1,1,1,1,2,3,4,5
462,1,4,male,4,1,1,2,2,4,1,1,1,1,3,1,1,1,1,4,1,1,1,1,1,2,3,4
463,0,8,male,3,4,2,4,3,4,1,1,2,1,4,1,1,2,1,3,1,3,1,3,1,2,3,4
464,1,14,male,4,NA,1,2,1,4,1,1,1,1,4,2,1,1,1,4,1,1,1,1,1,2,3,4
465,1,1,female,3,1,1,2,1,3,2,2,3,3,3,3,3,3,4,3,3,2,2,3,1,1,2,3
466,1,4,female,4,1,1,1,2,4,1,1,1,1,4,3,1,2,1,4,1,1,1,2,1,1,2,1
467,1,1,female,4,1,2,2,1,4,1,1,2,1,3,2,2,1,2,3,2,1,1,1,2,999,4,5
468,0,17,male,3,1,2,2,1,4,2,2,2,2,3,1,1,1,3,3,2,1,1,2,2,3,4,5
469,1,13,male,3,2,2,3,3,3,4,2,3,1,3,3,1,2,2,3,2,2,3,2,1,2,3,4
470,0,7,female,4,3,4,4,4,3,4,4,4,4,4,2,1,2,1,3,4,4,3,4,1,2,7,4
471,0,24,male,3,2,1,3,2,3,1,2,3,2,4,1,1,1,1,3,3,2,3,2,2,2,1,3
472,0,15,female,4,1,1,1,1,4,1,1,1,1,3,2,1,2,1,4,1,2,1,1,1,2,3,4
473,1,1,male,4,1,1,1,3,4,1,1,1,1,4,1,1,1,1,4,1,3,1,3,1,1,2,3
474,0,25,male,4,1,1,1,2,3,1,2,3,3,3,4,3,3,1,3,2,4,3,4,1,1,2,3
475,0,22,male,3,3,3,2,1,3,2,2,2,3,3,2,2,1,2,4,1,2,2,1,2,3,4,5
476,0,11,male,4,1,1,1,2,4,1,1,2,2,3,1,1,1,2,3,1,1,1,1,1,2,2,3
477,0,20,female,3,3,2,3,2,3,2,2,2,2,3,2,1,1,1,3,3,1,2,1,1,2,4,4
478,1,1,female,4,1,2,1,1,4,1,1,1,1,3,1,1,1,1,4,4,1,1,1,1,1,2,3
479,1,9,female,4,1,1,1,1,3,3,2,1,3,4,2,1,1,3,4,1,1,2,2,2,3,4,5
480,1,4,female,4,1,1,1,1,4,1,1,1,1,4,1,1,1,1,NA,NA,NA,NA,NA,1,1,8,NA
481,0,2,female,4,4,1,4,4,4,4,4,4,4,4,4,4,4,2,4,4,3,4,2,1,2,3,4
482,1,12,female,4,1,1,1,1,3,1,2,2,2,4,4,4,4,4,4,1,4,4,2,1,2,3,4
483,0,2,female,3,3,1,2,1,3,2,1,3,2,3,2,3,2,2,3,2,1,3,2,1,1,1,3
484,1,18,female,3,3,1,3,1,4,1,1,1,1,3,2,1,2,3,4,1,1,1,2,1,1,2,3
485,0,6,female,4,1,1,2,1,3,4,3,4,4,3,3,3,2,3,3,2,3,1,3,2,3,4,5
486,0,23,male,3,2,1,2,2,4,3,3,3,3,3,1,1,1,1,4,4,4,4,4,2,3,3,5
487,0,20,female,3,2,2,2,2,4,1,1,1,2,3,2,2,1,1,3,3,2,3,2,2,3,4,3
488,0,24,female,4,1,1,1,1,4,1,1,1,1,4,1,1,1,1,4,1,1,1,1,1,1,8,8
489,1,9,female,4,3,1,1,1,4,2,1,1,1,3,2,2,2,2,4,1,1,1,1,1,2,3,4
490,1,10,female,4,4,4,3,4,4,1,1,1,1,3,2,2,2,2,3,2,2,2,2,2,3,4,5
491,0,6,male,3,3,1,4,4,3,2,2,2,2,3,1,1,1,1,4,2,3,2,1,2,8,8,8
492,0,6,male,3,2,1,1,2,4,1,1,1,1,3,1,1,1,1,3,2,3,3,3,2,7,8,8
493,0,17,female,3,3,1,2,2,3,2,1,2,1,3,2,2,1,2,3,2,1,1,1,1,1,2,3
494,1,5,male,4,1,1,1,2,3,1,1,1,1,4,1,1,1,1,4,1,2,2,2,1,1,2,3
495,0,2,female,4,1,1,2,2,4,2,1,2,2,4,1,1,2,1,3,2,1,2,2,1,1,1,2
496,0,2,female,3,2,1,2,1,3,2,2,2,3,3,2,1,2,1,3,2,2,2,2,2,3,5,5
497,1,9,female,4,2,1,2,2,3,4,4,3,4,4,1,1,1,1,NA,NA,NA,NA,NA,2,3,3,NA
498,0,7,female,3,2,1,2,2,3,2,1,3,4,4,1,1,3,1,3,1,1,2,2,1,1,2,3
499,0,8,female,4,1,1,1,1,4,1,1,1,1,4,1,1,1,1,4,1,1,2,1,1,1,2,3
500,1,12,male,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,1,2,2,2,1,2,3,4
501,0,21,female,4,4,3,4,4,3,3,3,3,4,3,2,1,2,3,NA,NA,NA,NA,NA,1,1,2,NA
502,0,11,female,3,2,2,3,1,4,1,1,1,1,3,1,2,1,1,3,2,2,3,2,2,8,8,8
503,0,17,female,3,2,2,2,2,3,2,2,2,2,3,2,2,2,2,3,2,2,2,2,1,2,3,4
504,1,3,male,3,2,1,2,2,4,1,1,4,4,4,1,4,1,4,3,3,3,3,3,2,2,8,2
505,1,3,female,3,1,1,3,2,4,3,1,4,3,3,2,1,1,1,3,3,1,3,4,1,1,4,7
506,1,5,female,3,4,1,3,4,4,4,4,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,NA,NA
507,1,5,female,3,3,4,4,4,3,3,4,4,4,4,4,4,4,4,3,4,2,3,3,2,3,4,5
508,1,18,male,3,2,2,4,3,4,1,1,4,4,4,1,2,1,2,4,2,3,4,4,1,1,7,2
509,0,22,female,3,3,3,3,3,3,2,2,2,2,4,2,3,3,3,4,3,2,3,3,1,1,2,8
510,0,21,male,3,2,1,2,1,3,2,3,2,2,3,3,2,3,2,3,2,1,2,2,1,2,2,3
511,1,10,female,3,2,1,3,4,4,3,4,3,4,4,4,4,4,4,3,4,3,3,3,1,3,4,5
512,0,2,female,4,1,1,1,1,4,1,1,1,1,4,1,2,1,1,3,3,2,1,2,1,2,2,3
513,1,26,male,3,2,2,4,2,3,2,1,2,3,3,3,2,2,4,3,2,2,2,4,2,7,7,7
514,0,23,female,3,3,2,3,2,3,3,2,2,2,3,3,1,3,2,4,3,1,1,1,1,2,3,4
515,1,16,male,3,2,2,2,1,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,3,4,5
516,0,2,male,4,2,1,2,1,3,1,1,1,2,3,1,1,1,1,3,3,1,1,1,1,2,8,4
517,0,22,male,3,4,2,4,2,3,4,2,4,3,3,1,1,1,1,4,1,1,1,2,1,2,3,4
518,0,24,female,3,1,1,2,1,4,2,1,1,1,4,1,1,1,1,4,1,1,1,1,1,2,4,8
519,1,10,female,3,2,1,1,2,4,4,4,4,4,4,4,4,4,4,4,4,2,4,2,2,3,4,5
520,1,12,male,4,4,2,4,4,3,1,3,1,4,4,2,1,2,2,3,2,1,4,2,2,3,4,5
521,1,18,female,3,3,1,2,1,4,1,1,1,1,3,3,2,3,2,4,1,1,1,2,2,3,4,5
522,1,13,female,3,2,2,2,2,3,1,2,2,2,3,1,1,2,1,3,1,1,1,1,1,1,3,2
523,1,10,male,3,1,2,1,3,4,1,1,1,2,3,2,1,2,2,3,1,1,2,2,1,1,2,3
524,1,1,female,4,1,1,1,1,4,2,1,1,1,4,1,1,1,1,4,1,1,1,2,1,2,3,4
525,1,26,female,3,2,1,1,1,3,2,1,1,1,4,2,1,1,1,3,3,3,2,2,1,2,7,7
526,0,25,female,3,2,1,3,4,4,1,1,1,1,NA,NA,NA,NA,NA,3,4,1,4,4,1,8,NA,7
527,0,22,female,3,1,1,3,1,3,2,2,2,1,4,2,1,1,2,3,3,2,4,3,1,1,8,7
528,0,11,male,3,1,3,2,1,3,1,1,2,1,3,1,1,2,1,4,1,2,1,1,1,2,2,2
529,0,11,female,3,1,3,1,2,NA,NA,NA,NA,NA,4,1,1,1,1,NA,NA,NA,NA,NA,1,NA,3,NA
530,1,4,male,4,1,1,1,1,4,1,1,1,1,4,1,1,1,2,3,1,2,1,1,1,1,2,7
531,0,6,female,4,2,3,4,4,3,2,3,3,3,3,2,3,3,3,3,3,2,3,3,2,3,4,5
532,1,1,female,3,1,1,NA,1,3,2,2,1,2,3,3,2,3,2,3,1,1,2,2,2,3,4,8
533,0,2,male,3,3,1,3,3,3,2,2,2,2,4,3,3,3,3,4,3,3,1,3,2,3,4,5
534,0,15,female,4,1,1,1,1,4,2,2,2,1,3,3,2,4,2,3,2,1,2,1,1,1,2,8
535,0,22,male,3,3,3,3,4,3,2,2,3,4,3,3,4,3,4,3,3,3,2,2,1,2,8,8
536,0,11,male,4,3,3,3,3,4,3,1,3,3,4,1,2,1,2,3,2,2,2,2,2,7,7,8
537,0,6,female,4,1,1,1,1,4,1,1,2,2,4,1,1,2,1,NA,NA,NA,NA,NA,1,1,2,NA
538,0,24,male,3,4,NA,3,NA,3,3,1,3,1,4,1,1,1,1,4,1,1,3,3,2,8,8,8
539,0,8,male,3,1,1,1,1,3,2,2,2,2,3,2,2,2,2,4,1,2,2,2,2,8,7,8
540,0,7,male,3,2,4,4,4,3,3,3,4,4,4,2,3,2,3,3,2,2,3,3,1,2,8,4
541,1,14,male,4,4,1,4,4,4,2,1,2,2,4,3,1,1,1,4,1,3,1,2,1,2,8,8
542,1,12,female,4,1,1,2,1,4,2,1,2,1,3,2,1,2,2,3,3,1,2,1,2,3,4,5
543,1,4,male,4,2,1,2,1,3,4,1,2,1,3,1,1,3,1,4,1,1,1,1,2,3,4,5
544,0,17,female,4,1,1,2,1,3,1,1,2,1,4,1,1,2,1,3,3,2,2,2,1,1,2,3
545,0,24,male,3,2,1,3,2,3,3,2,3,2,3,2,2,2,2,3,2,1,2,3,1,2,3,4
546,1,19,female,3,4,2,NA,2,4,1,1,2,1,3,2,2,2,1,3,2,1,2,2,1,1,2,3
547,1,10,female,3,3,1,3,1,3,2,1,1,1,4,1,1,1,1,4,1,1,1,1,2,2,3,4
548,0,11,female,3,3,1,3,4,3,2,1,2,2,4,1,1,1,1,NA,NA,NA,NA,NA,1,2,8,NA
549,1,16,male,4,2,1,1,1,4,1,1,1,1,4,1,1,1,1,4,1,1,2,1,1,2,3,4
550,0,15,male,4,2,2,2,2,4,3,3,3,4,4,2,1,1,3,4,1,1,1,1,1,2,3,7
551,1,5,male,3,2,1,2,2,3,2,2,2,1,3,2,2,2,2,4,2,2,2,1,2,3,4,5
552,0,24,female,4,1,1,1,2,4,1,1,1,1,4,1,1,1,1,3,2,1,2,2,1,8,8,8
553,1,13,female,4,2,1,1,1,4,2,2,2,1,4,1,1,1,1,4,3,1,1,1,1,1,2,3
554,0,20,male,4,1,1,4,4,3,4,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,8,NA,NA
555,1,19,male,3,1,2,2,2,3,1,2,2,2,4,1,1,1,1,3,2,3,4,3,2,3,4,5
556,1,5,male,4,2,1,2,1,4,1,1,1,1,4,1,1,1,1,3,1,1,1,1,1,1,2,3
557,0,2,female,4,4,1,4,4,4,1,1,1,1,4,4,4,4,4,4,4,4,4,4,1,1,2,8
558,0,17,male,3,2,2,2,2,3,4,4,4,4,4,3,2,1,3,4,4,4,4,4,1,2,3,4
559,1,1,male,4,2,1,2,2,3,2,1,2,2,3,1,1,1,1,3,2,1,4,2,1,2,8,7
560,0,2,female,4,1,1,1,1,4,1,1,1,1,4,4,1,2,2,3,2,1,1,1,1,2,3,4
561,1,1,male,4,2,2,2,2,4,1,1,4,1,4,1,1,1,1,4,3,2,3,2,1,1,2,3
562,0,11,male,4,1,1,1,2,3,2,1,2,1,3,4,4,3,4,NA,NA,NA,NA,NA,1,1,4,NA
563,0,11,male,3,1,4,3,3,4,1,1,1,1,4,2,1,2,1,NA,NA,NA,NA,NA,2,8,2,NA
564,0,11,female,3,2,2,4,2,3,2,2,3,4,4,1,1,1,1,3,2,2,2,3,2,3,3,5
565,1,1,male,4,1,1,1,1,4,1,1,1,1,3,1,1,1,1,3,3,1,1,1,1,1,2,3
566,0,8,female,3,2,2,4,4,4,3,1,4,2,3,1,1,1,1,3,2,4,2,2,2,3,4,5
567,0,20,male,4,2,1,2,NA,3,3,3,3,4,4,4,2,3,4,3,2,1,1,2,2,3,4,1
568,1,16,male,NA,3,1,3,3,3,2,3,1,3,3,1,2,2,3,3,3,2,2,1,1,8,7,7
569,1,9,female,4,1,1,1,1,3,2,1,1,1,4,2,1,1,1,3,2,3,2,3,1,2,3,4
570,1,26,female,4,2,2,2,2,NA,NA,NA,NA,NA,3,2,2,2,2,3,2,2,3,4,2,NA,4,8
571,1,3,male,3,1,1,1,1,3,1,2,2,1,3,1,2,1,1,4,1,1,1,1,1,2,3,4
572,1,1,male,3,1,3,3,2,3,1,1,2,3,3,3,1,1,2,3,2,2,2,2,1,2,3,4
573,0,25,male,4,1,1,1,1,4,1,2,1,1,4,2,1,1,1,4,1,1,1,1,1,1,2,8
574,0,20,female,3,2,2,2,2,3,1,2,1,1,4,1,1,1,2,NA,NA,NA,NA,NA,2,3,4,NA
575,1,1,female,4,1,1,4,2,3,3,1,1,2,3,2,2,1,2,3,1,2,1,2,2,3,4,5
576,0,20,male,3,1,1,2,NA,4,1,2,1,1,3,3,3,2,4,4,2,2,1,1,1,2,3,4
577,1,1,male,3,1,2,2,1,4,3,2,2,2,3,3,3,3,3,4,4,3,3,4,1,2,3,4
578,0,2,female,3,2,2,2,2,4,2,1,2,2,3,2,2,2,3,3,3,2,3,2,1,2,3,4
579,0,21,female,4,1,1,1,1,4,1,1,1,2,3,2,3,2,3,NA,NA,NA,NA,NA,1,2,3,NA
580,1,19,male,3,2,2,2,1,4,1,1,1,1,4,2,1,2,4,3,1,2,1,1,2,8,7,7
581,0,24,female,4,1,1,2,1,4,2,1,2,1,3,3,2,2,2,3,2,2,2,2,1,2,3,4
582,1,3,female,3,4,4,1,4,3,3,3,3,3,4,1,1,1,1,4,4,4,4,4,1,8,8,8
583,1,14,male,4,2,1,2,1,3,3,1,2,1,4,1,1,1,1,3,2,1,1,1,2,3,4,5
584,0,7,male,4,2,1,1,2,3,3,2,3,2,3,2,1,1,1,3,2,2,2,2,1,2,8,4
585,0,23,male,3,3,2,3,2,4,1,1,1,1,3,4,4,3,4,4,1,2,2,2,1,8,4,8
586,1,14,male,4,2,1,1,1,4,1,1,1,1,3,2,1,1,1,4,1,1,1,1,2,3,4,5
587,1,19,male,3,3,3,4,3,4,2,1,1,2,4,1,1,1,1,3,2,1,1,1,1,8,3,4
588,0,22,male,4,1,1,1,1,4,1,3,1,1,3,1,2,2,4,4,1,2,1,1,2,8,8,7
589,1,9,male,3,2,3,3,1,3,3,1,3,2,3,2,2,2,3,3,2,2,2,2,1,1,2,3
590,0,8,male,4,2,1,1,1,3,1,1,1,1,3,2,1,1,2,3,3,3,2,2,2,3,4,5
591,1,10,male,3,2,2,2,2,3,3,1,2,2,3,1,1,4,2,3,1,1,1,1,2,3,4,5
592,1,16,female,3,3,4,3,4,4,2,1,2,3,3,4,2,3,4,3,2,4,4,2,1,2,8,2
593,0,20,male,4,2,3,1,2,4,1,1,1,1,4,2,1,2,1,4,3,2,2,2,2,3,2,5
594,1,13,female,4,2,1,2,2,4,3,1,4,3,4,3,1,4,2,NA,NA,NA,NA,NA,2,1,2,NA
595,0,7,female,3,1,1,1,4,3,2,1,2,2,4,1,3,1,3,3,3,4,3,3,1,1,2,3
596,1,1,female,4,3,1,1,2,3,3,2,3,3,4,3,1,2,2,NA,NA,NA,NA,NA,1,1,2,NA
597,1,12,male,4,1,2,1,2,4,4,4,3,4,3,3,2,2,2,3,1,1,1,2,1,1,3,4
598,1,16,male,NA,NA,1,4,3,4,1,1,4,4,4,4,1,4,4,4,4,4,4,4,1,1,1,2
599,0,17,male,3,2,2,2,1,4,1,4,3,4,4,1,1,1,1,3,3,2,3,3,1,2,3,4
600,1,16,male,3,1,1,1,2,3,1,1,2,1,4,2,1,1,1,4,1,1,1,2,1,2,3,4
601,1,5,female,3,4,4,4,4,4,3,4,4,4,4,1,1,1,1,4,3,2,3,3,1,1,2,7
602,1,10,male,3,4,4,4,3,3,2,3,2,3,3,2,1,1,2,3,2,2,2,2,1,2,3,4
603,1,4,female,4,4,1,4,4,4,4,4,4,4,3,2,1,1,1,NA,NA,NA,NA,NA,2,8,7,NA
604,1,12,male,3,1,1,1,1,4,2,2,2,2,4,2,2,NA,1,3,2,2,2,2,1,2,3,4
605,0,25,female,3,1,2,2,2,3,2,2,2,2,3,2,2,2,3,3,3,4,2,3,1,2,7,8
606,1,13,female,4,1,2,1,1,4,1,1,1,1,3,3,1,1,2,3,2,2,2,2,1,1,1,2
607,1,1,female,3,2,1,3,2,3,3,1,3,1,4,2,1,1,1,4,1,1,3,2,1,2,4,4
608,0,6,male,3,1,1,4,4,4,1,1,2,4,3,2,1,3,3,3,2,3,2,3,1,2,3,4
609,1,26,female,3,2,2,3,2,3,3,4,4,4,4,1,1,1,1,NA,NA,NA,NA,NA,2,3,8,NA
610,1,9,female,4,NA,1,1,1,4,3,1,3,2,4,1,1,1,1,3,3,1,2,2,1,2,3,4
611,1,5,female,4,3,1,1,4,3,2,2,2,3,4,1,1,2,2,4,3,2,1,1,1,2,3,4
612,1,10,female,3,2,3,3,3,3,2,2,2,2,4,1,1,1,1,3,3,3,3,3,1,2,2,4
613,0,20,female,4,1,1,2,2,3,1,1,3,3,3,2,1,3,3,3,2,2,2,2,1,2,3,4
614,1,13,female,4,1,1,2,1,4,2,1,1,1,4,1,1,1,1,4,1,1,1,1,2,2,3,4
615,0,15,male,3,3,1,1,1,3,2,2,2,2,3,2,2,2,2,3,2,2,2,2,2,3,4,5
616,1,19,female,4,1,1,3,4,3,3,4,4,4,3,3,2,3,1,3,2,1,2,2,1,1,2,3
617,1,18,male,3,1,2,2,2,3,2,2,1,1,3,1,1,1,1,NA,NA,NA,NA,NA,1,1,3,NA
618,0,23,male,3,2,2,1,4,4,1,2,1,2,3,3,1,1,4,3,2,1,1,1,1,2,3,4
619,0,2,female,4,1,1,1,1,4,1,1,1,1,3,1,1,2,1,3,2,2,1,1,2,3,4,5
620,1,3,female,4,3,4,4,2,3,2,1,2,4,3,3,1,4,2,4,1,1,4,3,2,3,4,5
621,0,2,female,4,1,2,1,1,4,1,2,1,1,4,2,1,1,1,4,3,1,4,4,1,1,1,2
622,0,23,female,3,2,2,2,3,4,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,NA,NA
623,0,22,male,3,2,2,4,1,3,3,1,4,1,3,3,4,3,4,4,1,1,1,1,1,2,8,4
624,0,2,male,4,2,2,2,3,4,4,1,4,4,4,4,1,4,4,3,1,1,2,3,1,1,2,3
625,0,6,male,4,1,1,1,1,4,1,1,1,2,4,2,1,1,1,3,1,1,1,1,1,2,3,4
626,1,18,male,3,2,1,2,2,NA,NA,NA,NA,NA,4,2,1,2,1,NA,NA,NA,NA,NA,1,NA,8,NA
627,0,6,male,3,3,2,3,2,3,1,1,2,2,3,3,2,2,2,3,2,1,2,2,1,2,3,4
628,1,18,female,4,3,2,2,4,3,3,2,1,3,4,4,2,4,2,3,1,1,1,1,1,1,2,3
629,1,12,male,4,1,1,1,1,4,1,1,1,1,4,2,1,1,1,4,1,1,1,1,2,3,4,5
630,1,16,male,4,2,2,2,3,4,2,2,4,2,4,1,1,1,1,3,2,1,1,1,2,3,4,5
631,1,13,female,3,2,2,2,2,NA,NA,NA,NA,NA,4,3,2,3,4,4,1,1,2,2,1,NA,1,7
632,0,11,female,3,3,1,2,2,4,1,1,1,1,4,2,1,2,1,NA,NA,NA,NA,NA,1,8,7,NA
633,1,10,female,3,3,3,3,3,3,3,3,3,3,3,2,1,2,2,3,3,1,2,3,1,2,3,4
634,0,22,male,3,1,1,1,1,3,1,1,1,1,3,1,1,1,1,4,1,1,1,1,1,2,3,4
635,0,24,female,3,3,2,1,4,3,2,1,1,3,4,1,1,1,1,3,4,2,1,4,1,1,4,8
636,0,11,female,4,1,1,3,1,4,1,1,1,4,4,1,1,2,2,4,4,1,4,1,1,2,8,2
637,1,10,male,4,1,1,1,1,4,4,4,4,4,3,2,2,3,2,3,1,1,1,1,1,2,4,4
638,1,5,male,4,1,1,2,2,3,2,1,2,1,3,1,1,2,1,4,1,2,1,1,1,1,2,3
639,0,25,male,3,1,1,1,1,4,1,1,2,1,3,2,1,1,1,3,1,1,4,2,2,8,8,8
640,0,8,male,3,2,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
641,0,2,male,4,1,1,2,2,3,2,2,1,4,3,2,1,4,4,3,4,1,4,4,1,1,8,8
642,1,5,female,3,3,1,4,4,3,3,2,3,3,3,2,1,1,1,4,2,2,2,2,2,8,7,8
643,1,13,male,3,4,2,2,3,3,1,1,1,1,4,4,4,4,4,3,1,1,2,1,1,2,3,4
644,1,9,female,4,2,1,NA,1,3,2,1,2,2,3,3,1,1,2,3,2,1,1,1,2,3,4,5
645,0,2,female,4,1,1,1,2,3,2,2,2,4,4,2,2,3,1,4,1,2,3,2,2,8,3,4
646,0,8,male,4,1,1,1,1,4,1,1,1,1,4,2,3,2,3,3,3,3,3,1,1,8,8,8
647,0,11,male,4,1,1,1,1,4,1,1,1,1,3,2,1,1,1,3,2,1,1,1,1,2,8,8
648,1,3,male,3,2,3,3,2,3,1,2,2,1,3,2,2,2,1,3,1,1,2,1,1,2,7,7
649,1,26,male,4,2,1,2,4,3,2,1,1,2,4,1,1,1,1,4,1,1,1,1,2,3,4,5
650,0,17,female,3,1,3,1,3,3,3,3,3,3,3,2,2,2,2,4,3,3,3,3,2,3,4,5
651,0,24,female,3,1,1,2,2,3,1,1,2,2,3,1,1,1,1,3,1,1,1,1,1,1,2,7
652,1,4,male,3,2,1,3,3,4,1,1,1,2,3,4,4,3,4,4,1,1,1,2,1,2,4,8
653,1,10,male,4,1,1,4,4,4,4,1,4,4,3,3,1,4,4,3,2,1,2,4,1,1,2,3
654,0,11,male,4,4,4,4,4,3,3,3,3,3,3,2,1,1,1,4,1,4,1,4,1,2,8,2
655,0,21,female,3,3,3,3,3,NA,NA,NA,NA,NA,4,3,3,3,4,3,3,4,3,4,2,NA,3,8
656,0,17,female,3,2,4,4,4,4,2,1,2,4,3,3,3,3,3,3,2,2,2,3,2,3,4,5
657,0,21,male,3,2,1,1,NA,3,2,1,2,2,3,2,2,3,2,3,1,1,1,1,2,8,4,3
658,0,22,male,3,2,1,2,2,4,1,2,1,1,4,1,1,1,2,3,2,2,3,2,1,2,4,2
659,0,23,male,4,2,1,2,1,4,2,1,1,1,3,2,1,1,1,4,1,1,1,1,2,3,4,5
660,0,8,male,3,1,2,2,1,3,3,2,3,2,3,4,2,1,2,3,3,1,3,2,1,2,8,8
