ID,w1group,w1schoolid,gender,w1_54a,w1_54b,w1_54d,w1_54e,w1_54f,w2_54a,w2_54b,w2_54d,w2_54e,w2_54f,w3_54a,w3_54b,w3_54d,w3_54e,w3_54f,w4_54a,w4_54b,w4_54d,w4_54e,w4_54f,w1_1,w2_1,w3_1,w4_1
243,0,11,male,4,1,1,2,1,3,3,2,2,3,4,2,1,2,1,4,1,3,3,4,2,8,2,2
244,0,11,male,3,3,1,3,1,3,3,2,2,2,4,2,3,2,3,3,3,2,3,2,1,2,8,8
245,0,22,male,4,1,3,3,2,4,2,4,3,4,3,1,1,1,1,4,1,2,1,2,1,2,3,8
246,0,2,male,3,3,1,3,4,3,2,1,2,2,3,2,1,2,2,3,2,1,3,3,1,8,1,2
247,0,24,female,4,1,2,2,2,4,2,1,1,1,3,3,2,2,2,3,2,3,1,2,1,2,3,4
248,0,8,female,3,4,4,4,4,4,3,4,3,3,NA,NA,NA,NA,NA,4,3,4,4,4,1,2,NA,8
249,0,15,male,3,1,1,3,1,3,1,1,1,3,4,2,1,2,1,4,3,1,4,4,1,2,8,8
250,1,12,female,3,3,1,4,2,4,2,2,1,1,4,2,1,1,1,4,1,1,1,1,2,3,4,5
251,1,9,male,3,3,1,2,4,3,2,3,2,2,3,4,1,2,2,4,4,2,2,3,1,2,3,4
252,1,5,female,3,1,2,1,3,3,2,2,2,2,3,3,2,3,1,4,2,1,1,1,1,2,3,4
253,0,22,female,4,1,1,2,1,4,4,1,2,1,4,1,1,1,2,4,2,1,2,2,1,2,3,3
254,1,10,female,3,1,2,1,2,3,1,2,2,2,3,2,2,2,3,3,3,2,3,2,1,1,2,3
255,1,12,male,3,2,4,4,4,4,3,2,4,4,4,4,1,3,4,3,3,2,3,3,1,2,7,7
256,0,17,male,4,1,2,1,1,4,1,2,2,2,3,2,2,2,2,3,2,2,2,2,1,2,3,4
257,1,4,female,4,1,1,3,3,3,2,2,2,1,3,2,2,1,1,NA,NA,NA,NA,NA,2,3,4,NA
258,1,10,female,4,1,1,1,1,4,2,2,4,4,3,2,1,2,1,3,3,2,4,3,1,2,3,4
259,0,21,male,3,1,1,2,1,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,3,5,5
260,1,10,female,3,3,3,1,3,3,2,1,2,1,3,2,1,3,2,3,2,2,2,2,2,3,4,5
261,0,17,male,3,NA,1,1,1,4,1,1,1,2,4,2,1,1,2,3,2,1,1,1,2,3,4,5
262,1,5,female,3,2,2,4,4,3,3,4,1,3,4,1,1,1,1,4,3,4,4,4,2,1,2,8
263,0,11,female,3,2,2,1,3,3,2,2,2,3,3,3,2,3,4,3,3,2,3,2,1,2,3,4
264,0,8,female,4,2,1,2,2,4,1,2,2,1,4,1,1,2,2,4,2,3,2,1,2,1,2,3
265,0,24,male,3,2,1,2,1,3,2,1,1,1,4,1,1,3,1,3,1,2,2,2,1,1,2,3
266,1,13,female,3,3,3,3,3,3,4,2,4,4,3,3,4,3,4,4,4,3,4,4,2,3,8,8
267,0,25,female,4,2,4,4,4,3,2,1,2,1,3,1,1,1,1,NA,NA,NA,NA,NA,2,3,4,NA
268,1,5,male,3,3,1,1,NA,3,2,1,2,1,4,1,1,1,1,NA,NA,NA,NA,NA,2,3,4,NA
269,1,1,male,3,3,3,3,3,4,2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA
270,0,2,female,4,3,1,3,3,3,4,3,2,3,3,2,3,2,3,3,2,4,3,2,1,2,3,4
271,1,4,female,3,2,2,3,2,3,2,1,2,1,3,2,2,3,1,3,2,1,2,1,2,3,4,5
272,1,1,female,4,1,1,1,1,4,1,4,1,4,4,2,1,3,2,3,2,2,1,4,2,3,4,5
273,0,24,female,4,1,1,1,1,3,3,1,4,4,3,4,1,4,4,3,2,4,1,4,1,1,2,3
274,1,13,male,3,2,2,2,2,3,2,2,2,2,3,2,2,1,2,4,3,2,3,3,1,2,3,4
275,0,15,female,4,1,2,2,1,3,2,2,2,1,3,2,2,3,2,3,4,2,2,4,1,1,2,3
276,0,22,male,4,1,1,2,2,4,4,1,3,1,3,4,1,4,2,4,3,1,1,1,1,2,3,4
277,0,21,male,4,4,4,4,4,4,4,1,4,2,3,3,1,1,1,3,2,1,2,3,2,3,4,5
278,1,18,male,4,1,1,4,4,3,2,2,2,2,4,4,4,1,2,4,1,2,4,4,1,1,2,3
279,0,24,female,3,2,1,2,1,NA,NA,NA,NA,NA,3,2,2,1,1,NA,NA,NA,NA,NA,2,NA,4,NA
280,1,16,female,3,2,1,3,3,3,3,2,3,4,3,1,2,2,2,3,1,1,2,2,1,2,7,7
281,1,9,male,3,2,2,2,2,4,1,1,2,1,3,1,1,1,2,4,1,1,2,1,2,3,4,5
282,1,13,female,3,1,1,2,1,3,2,1,2,1,3,2,1,1,1,3,3,1,1,1,2,3,4,5
